distance_from_peak_center_bp	distance_from_peak_center_mb	methylation_H3K27ac_peaks	support_H3K27ac_peaks	bootstrap_mean	bootstrap_std
-479300	-0.4793	0.7794760485904263	32	0.6934907058238519	0.11675303377760649
-479200	-0.4792	0.8027078524732183	30	0.6755287798323371	0.11308823370316022
-479100	-0.4791	0.7770715930358503	32	0.6574418602342664	0.09662870037092863
-479000	-0.479	0.779475432784383	27	0.6959055198867021	0.07157159960990118
-478900	-0.4789	0.7217554103351221	29	0.7020272751276968	0.04866067302270937
-478800	-0.4788	0.8593628066592454	28	0.6893163452532444	0.16524213523341458
-478700	-0.4787	0.7848749362313776	33	0.6958159797317969	0.061987539601910994
-478600	-0.4786	0.8038249916261946	32	0.7614634724603849	0.051681774030165537
-478500	-0.4785	0.7424432210291757	29	0.7190664550914031	0.04285017889561327
-478400	-0.4784	0.7628006475455239	29	0.6391448027449659	0.10646113943441181
-478300	-0.4783	0.7937594978273302	34	0.7035704085741052	0.04689671821810803
-478200	-0.4782	0.754057579840828	26	0.6297636387593579	0.10073859118010103
-478100	-0.4781	0.7965822956026944	25	0.675242058285905	0.08285018953681242
-478000	-0.478	0.8227360259814565	33	0.6568821664924822	0.1003836458698406
-477900	-0.4779	0.7526284767443551	30	0.7113568189631846	0.042792987852047666
-477800	-0.4778	0.7824818551995457	29	0.7010838383606697	0.030055039266508855
-477700	-0.4777	0.7366238998666957	36	0.7172021143444487	0.07688072300486906
-477600	-0.4776	0.7800100121709335	34	0.7593921345925917	0.05605542247901216
-477500	-0.4775	0.8270746161943004	32	0.7126931567180568	0.07850652173504015
-477400	-0.4774	0.8116632598325644	29	0.7030125505147744	0.0951097639671116
-477300	-0.4773	0.7473332015376327	21	0.6889347420815382	0.10515450115777702
-477200	-0.4772	0.8053302240880293	35	0.7319580198925133	0.04404243562651504
-477100	-0.4771	0.7746468146374829	38	0.7454935020299264	0.03022373679023527
-477000	-0.477	0.8337329891095278	32	0.7069467498504635	0.09527402569140833
-476900	-0.4769	0.7691821456554979	31	0.6930248625218998	0.04228390945934652
-476800	-0.4768	0.7672993182781104	31	0.720531281660116	0.05641093805018727
-476700	-0.4767	0.7889965547882819	31	0.679569364521033	0.08887616424289872
-476600	-0.4766	0.7961219499767496	32	0.6777088098152256	0.0647863433764644
-476500	-0.4765	0.8054275312101267	32	0.7348755855457247	0.06789163143851261
-476400	-0.4764	0.8264741376636769	30	0.7105785269033611	0.0875926022057271
-476300	-0.4763	0.7858098306214469	33	0.7236118516391603	0.05294480976345431
-476200	-0.4762	0.8454361708405378	31	0.683131955301047	0.06968505031098943
-476100	-0.4761	0.7821185385090555	35	0.6815008962439016	0.06627652854719025
-476000	-0.476	0.7148899493626312	33	0.6701338354631712	0.07505019189758372
-475900	-0.4759	0.7346092972805176	35	0.6310697582854553	0.07001149106022937
-475800	-0.4758	0.8113972083703718	26	0.6822931781716457	0.045616607771995096
